station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c
47662,Tokyo,1951-09-01,Autumn,,22.5,30.4
47662,Tokyo,1951-09-02,Autumn,,21.5,29.8
47662,Tokyo,1951-09-03,Autumn,,18.6,30.3
47662,Tokyo,1951-09-04,Autumn,,19.5,27.4
47662,Tokyo,1951-09-05,Autumn,,20.5,24.7
47662,Tokyo,1951-09-06,Autumn,,20.1,29.6
47662,Tokyo,1951-09-07,Autumn,,19.6,27.0
47662,Tokyo,1951-09-08,Autumn,,19.7,27.4
47662,Tokyo,1951-09-09,Autumn,,19.5,23.4
47662,Tokyo,1951-09-10,Autumn,,18.4,27.2
47662,Tokyo,1951-09-11,Autumn,,19.5,22.6
47662,Tokyo,1951-09-12,Autumn,,19.5,26.4
47662,Tokyo,1951-09-13,Autumn,,17.8,20.6
47662,Tokyo,1951-09-14,Autumn,,16.0,25.8
47662,Tokyo,1951-09-15,Autumn,,17.5,21.2
47662,Tokyo,1951-09-16,Autumn,,18.7,24.0
47662,Tokyo,1951-09-17,Autumn,,19.8,26.3
47662,Tokyo,1951-09-18,Autumn,,19.5,25.4
47662,Tokyo,1951-09-19,Autumn,,17.1,20.7
47662,Tokyo,1951-09-20,Autumn,,16.6,25.0
47662,Tokyo,1951-09-21,Autumn,,11.9,24.5
47662,Tokyo,1951-09-22,Autumn,,14.9,22.1
47662,Tokyo,1951-09-23,Autumn,,16.1,27.9
47662,Tokyo,1951-09-24,Autumn,,14.6,24.1
47662,Tokyo,1951-09-25,Autumn,,15.6,17.8
47662,Tokyo,1951-09-26,Autumn,,14.2,16.8
47662,Tokyo,1951-09-27,Autumn,,13.3,20.8
47662,Tokyo,1951-09-28,Autumn,,11.1,22.3
47662,Tokyo,1951-09-29,Autumn,,13.8,22.7
47662,Tokyo,1951-09-30,Autumn,,15.6,25.4
47662,Tokyo,1951-10-01,Autumn,,17.4,25.3
47662,Tokyo,1951-10-02,Autumn,,17.0,23.7
